id,type,num_cores,voltages_frequencies,ISL,capacitance,powerIdle,battery_capacity,battery_now,error_rate,acceptableTasks,handleSafeTask,maxQueue,name
10,iot,4,"[[(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)]]",0.19734199992719137,"[2.907803371169751e-10, 2.355482122630626e-10, 2.5241288215118463e-10, 2.0836830204997643e-10]","[0.001, 0.0009, 0.0007999999999999999, 0.001]",37289165.68357929,100,0.033257676770559165,"[2, 4, 1]",1,5,iot10
11,iot,4,"[[(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)]]",0.12367460035393622,"[2.3057624022170332e-10, 2.7854687477685994e-10, 2.548944336707081e-10, 2.442322466384756e-10]","[0.0009, 0.001, 0.0009, 0.001]",37726842.24056754,100,0.05132566860648844,"[1, 2, 4]",1,5,iot11
12,iot,4,"[[(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.13711645187948254,"[2.7928577407018346e-10, 2.8792375818886155e-10, 2.352165488887034e-10, 2.0319026644062702e-10]","[0.0007999999999999999, 0.001, 0.0009, 0.001]",38199716.821168706,100,0.013804510680697414,"[2, 1, 3]",1,5,iot12
13,iot,8,"[[(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(80000000.0, 4.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.1974348816030165,"[2.6866309823698947e-10, 2.4488302160485234e-10, 2.1689620634100057e-10, 2.671002978479613e-10, 2.7816802681646766e-10, 2.1048554883446081e-10, 2.5359703410923573e-10, 2.2701418729984544e-10]","[0.001, 0.0007999999999999999, 0.001, 0.001, 0.0009, 0.0009, 0.001, 0.0007999999999999999]",36275722.7635705,100,0.04170309320758465,"[2, 4, 1]",1,5,iot13
14,iot,4,"[[(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (160000000.0, 5.0)]]",0.19302028458760612,"[2.802368837647727e-10, 2.716569787473864e-10, 2.515018182402549e-10, 2.926234622867591e-10]","[0.0009, 0.0009, 0.0007999999999999999, 0.0009]",36718762.83104998,100,0.056423724984594935,"[3, 4, 1]",1,5,iot14
15,iot,16,"[[(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(20000000.0, 2.3), (160000000.0, 5.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (160000000.0, 5.0), (80000000.0, 4.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (10000000.0, 1.8), (80000000.0, 4.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (10000000.0, 1.8)], [(20000000.0, 2.3), (10000000.0, 1.8), (40000000.0, 2.7)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)]]",0.16288922692686497,"[2.7096498973508157e-10, 2.365617675976788e-10, 2.654591987057449e-10, 2.9810742665051434e-10, 2.6415065636924953e-10, 2.448566956926366e-10, 2.652896223900506e-10, 2.4601997289269725e-10, 2.751750134978063e-10, 2.0905535755046895e-10, 2.044766911502717e-10, 2.4102491641003207e-10, 2.28051901421287e-10, 2.5313771084000155e-10, 2.5375877276253877e-10, 2.6435286214367195e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.001, 0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999]",39661343.96169954,100,0.05465303837828941,"[4, 1, 2]",1,5,iot15
16,iot,8,"[[(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (40000000.0, 2.7), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (160000000.0, 5.0)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (80000000.0, 4.0)]]",0.15488715566171146,"[2.9744495716787196e-10, 2.2223050901806919e-10, 2.915981344407883e-10, 2.2864306783710563e-10, 2.2516875863307576e-10, 2.2865470087505967e-10, 2.450849246349997e-10, 2.1275144847115556e-10]","[0.0007999999999999999, 0.001, 0.0009, 0.0009, 0.001, 0.001, 0.0007999999999999999, 0.0009]",40066171.990329176,100,0.03806933451741466,"[4, 2, 1]",1,5,iot16
17,iot,4,"[[(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)]]",0.14747692228163178,"[2.9312494424092207e-10, 2.194092887451628e-10, 2.599727980462204e-10, 2.1648708265106725e-10]","[0.001, 0.0007999999999999999, 0.0009, 0.0009]",40663590.7723605,100,0.026386307757563163,"[2, 4, 1]",1,5,iot17
18,iot,4,"[[(20000000.0, 2.3), (80000000.0, 4.0), (160000000.0, 5.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)]]",0.19464141612665276,"[2.3236747646579487e-10, 2.7286751576400744e-10, 2.2326739689322904e-10, 2.776105352515582e-10]","[0.0007999999999999999, 0.0009, 0.001, 0.0007999999999999999]",36610824.48487293,100,0.028485792657673155,"[1, 4, 3]",1,5,iot18
19,iot,8,"[[(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(160000000.0, 5.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(10000000.0, 1.8), (80000000.0, 4.0), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(10000000.0, 1.8), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.12914838055782082,"[2.508845751734137e-10, 2.361392853092586e-10, 2.438715521232029e-10, 2.852863382677003e-10, 2.4327668721396926e-10, 2.46489057811314e-10, 2.147326967230388e-10, 2.3735000835260576e-10]","[0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",40007851.867230564,100,0.02297113835952157,"[3, 4, 2]",1,5,iot19
20,iot,8,"[[(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (160000000.0, 5.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(80000000.0, 4.0), (10000000.0, 1.8), (160000000.0, 5.0)], [(160000000.0, 5.0), (80000000.0, 4.0), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (10000000.0, 1.8), (40000000.0, 2.7)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)]]",0.1199032186027603,"[2.670895942966298e-10, 2.7826816359214853e-10, 2.0735604344631113e-10, 2.449886237491837e-10, 2.531767872534616e-10, 2.664919769675613e-10, 2.1919224434748828e-10, 2.508051042998946e-10]","[0.0007999999999999999, 0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.001]",39582792.20310484,100,0.03052940463335101,"[3, 4, 1]",0,5,iot20
21,iot,16,"[[(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(40000000.0, 2.7), (160000000.0, 5.0), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (160000000.0, 5.0)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(10000000.0, 1.8), (20000000.0, 2.3), (80000000.0, 4.0)], [(10000000.0, 1.8), (40000000.0, 2.7), (20000000.0, 2.3)], [(80000000.0, 4.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(20000000.0, 2.3), (80000000.0, 4.0), (40000000.0, 2.7)]]",0.1342939833267982,"[2.422559688894702e-10, 2.5710782024758985e-10, 2.0716025109852851e-10, 2.9566504815307154e-10, 2.788534201967395e-10, 2.368255531405747e-10, 2.5511646325852814e-10, 2.7986353870599014e-10, 2.2730993425763322e-10, 2.2816714009036062e-10, 2.7998418909912354e-10, 2.5623133037311557e-10, 2.8737316873332713e-10, 2.7539355438885206e-10, 2.7498995028837794e-10, 2.3914956924836744e-10]","[0.0009, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.0009, 0.001, 0.001, 0.001, 0.0009, 0.0009, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0007999999999999999, 0.001, 0.0007999999999999999]",36936410.33266144,100,0.0564480337588171,"[2, 4, 3]",1,5,iot21
22,iot,16,"[[(20000000.0, 2.3), (160000000.0, 5.0), (40000000.0, 2.7)], [(20000000.0, 2.3), (40000000.0, 2.7), (160000000.0, 5.0)], [(10000000.0, 1.8), (80000000.0, 4.0), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (80000000.0, 4.0)], [(80000000.0, 4.0), (160000000.0, 5.0), (40000000.0, 2.7)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (160000000.0, 5.0), (10000000.0, 1.8)], [(40000000.0, 2.7), (10000000.0, 1.8), (20000000.0, 2.3)], [(160000000.0, 5.0), (40000000.0, 2.7), (20000000.0, 2.3)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (10000000.0, 1.8), (20000000.0, 2.3)], [(40000000.0, 2.7), (20000000.0, 2.3), (10000000.0, 1.8)], [(20000000.0, 2.3), (40000000.0, 2.7), (10000000.0, 1.8)], [(40000000.0, 2.7), (80000000.0, 4.0), (160000000.0, 5.0)], [(20000000.0, 2.3), (10000000.0, 1.8), (160000000.0, 5.0)]]",0.11059747260593622,"[2.8681015207576483e-10, 2.9620270590474066e-10, 2.219325644029625e-10, 2.1450447603166978e-10, 2.8435832854236543e-10, 2.358485720669548e-10, 2.639524601672449e-10, 2.340859429720205e-10, 2.3290856690391096e-10, 2.0937250190212753e-10, 2.330899621356718e-10, 2.332319044716091e-10, 2.57610870103021e-10, 2.823367742871224e-10, 2.8000330876475865e-10, 2.6971124385791665e-10]","[0.0007999999999999999, 0.001, 0.001, 0.0007999999999999999, 0.001, 0.0009, 0.0007999999999999999, 0.0009, 0.001, 0.0009, 0.0009, 0.0009, 0.0007999999999999999, 0.0009, 0.0009, 0.0009]",39203315.470030926,100,0.05389416686838582,"[3, 1, 4]",1,5,iot22
23,iot,4,"[[(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(10000000.0, 1.8), (160000000.0, 5.0), (40000000.0, 2.7)], [(160000000.0, 5.0), (40000000.0, 2.7), (10000000.0, 1.8)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)]]",0.11112220616383196,"[2.421204139174565e-10, 2.0790344729870713e-10, 2.0289516217094238e-10, 2.310114234166483e-10]","[0.001, 0.0009, 0.0009, 0.001]",39598230.3616011,100,0.05019737989378617,"[2, 3, 4]",1,5,iot23
24,iot,8,"[[(160000000.0, 5.0), (20000000.0, 2.3), (80000000.0, 4.0)], [(80000000.0, 4.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (20000000.0, 2.3), (10000000.0, 1.8)], [(160000000.0, 5.0), (10000000.0, 1.8), (80000000.0, 4.0)], [(20000000.0, 2.3), (40000000.0, 2.7), (80000000.0, 4.0)], [(40000000.0, 2.7), (80000000.0, 4.0), (10000000.0, 1.8)], [(80000000.0, 4.0), (20000000.0, 2.3), (40000000.0, 2.7)], [(80000000.0, 4.0), (160000000.0, 5.0), (20000000.0, 2.3)]]",0.11391569904558052,"[2.2695702480893197e-10, 2.173270513932935e-10, 2.785922221127458e-10, 2.845656240963685e-10, 2.1809307098135118e-10, 2.5302844757070297e-10, 2.338008377145842e-10, 2.9943580877464147e-10]","[0.0009, 0.0007999999999999999, 0.0009, 0.0007999999999999999, 0.001, 0.0007999999999999999, 0.0007999999999999999, 0.0009]",38805078.18307802,100,0.046699736208396736,"[1, 4, 3]",1,5,iot24
